prodcode,description,drugsubstance
15,"Ibuprofen 400mg tablets",Ibuprofen
1086,"Ibuprofen 600mg tablets",Ibuprofen
1086,"Ibuprofen 600mg tablets",Ibuprofen
1086,"Ibuprofen 600mg tablets",Ibuprofen
1392,"Ibuprofen 800mg modified-release tablets",Ibuprofen
1392,"Ibuprofen 800mg modified-release tablets",Ibuprofen
1392,"Ibuprofen 800mg modified-release tablets",Ibuprofen
3599,"Ibuprofen 600mg effervescent granules sachets",Ibuprofen
3599,"Ibuprofen 600mg effervescent granules sachets",Ibuprofen
3599,"Ibuprofen 600mg effervescent granules sachets",Ibuprofen
11554,"Ibuprofen 200mg / Codeine 12.8mg tablets","Ibuprofen/Codeine phosphate"
11554,"Ibuprofen 200mg / Codeine 12.8mg tablets","Ibuprofen/Codeine phosphate"
48326,"Ibuprofen 100mg/5ml oral suspension sugar free",Ibuprofen
48326,"Ibuprofen 100mg/5ml oral suspension sugar free",Ibuprofen
48326,"Ibuprofen 100mg/5ml oral suspension sugar free",Ibuprofen
2622,"Ibuprofen 800mg tablets",Ibuprofen
2622,"Ibuprofen 800mg tablets",Ibuprofen
647,"Ibuprofen 100mg/5ml oral suspension",Ibuprofen
647,"Ibuprofen 100mg/5ml oral suspension",Ibuprofen
647,"Ibuprofen 100mg/5ml oral suspension",Ibuprofen
177,"Indometacin 25mg capsules",Indometacin
177,"Indometacin 25mg capsules",Indometacin
736,"Indometacin 50mg capsules",Indometacin
736,"Indometacin 50mg capsules",Indometacin
2200,"Indometacin 25mg modified-release capsules",Indometacin
389,"Ketoprofen 50mg capsules",Ketoprofen
389,"Ketoprofen 50mg capsules",Ketoprofen
389,"Ketoprofen 50mg capsules",Ketoprofen
12000,"Ketoprofen 100mg suppositories",Ketoprofen
259,"Mefenamic acid 250mg capsules","Mefenamic acid"
259,"Mefenamic acid 250mg capsules","Mefenamic acid"
259,"Mefenamic acid 250mg capsules","Mefenamic acid"
1073,"Mefenamic acid 500mg tablets","Mefenamic acid"
1073,"Mefenamic acid 500mg tablets","Mefenamic acid"
1073,"Mefenamic acid 500mg tablets","Mefenamic acid"
661,"Naproxen 250mg tablets",Naproxen
661,"Naproxen 250mg tablets",Naproxen
661,"Naproxen 250mg tablets",Naproxen
807,"Naproxen 500mg tablets",Naproxen
807,"Naproxen 500mg tablets",Naproxen
807,"Naproxen 500mg tablets",Naproxen
3431,"Naproxen 250mg gastro-resistant tablets",Naproxen
3431,"Naproxen 250mg gastro-resistant tablets",Naproxen
3431,"Naproxen 250mg gastro-resistant tablets",Naproxen
3053,"Naproxen 500mg gastro-resistant tablets",Naproxen
3053,"Naproxen 500mg gastro-resistant tablets",Naproxen
3053,"Naproxen 500mg gastro-resistant tablets",Naproxen
5407,"Naproxen 125mg/5ml oral suspension",Naproxen
5407,"Naproxen 125mg/5ml oral suspension",Naproxen
5407,"Naproxen 125mg/5ml oral suspension",Naproxen
140,"Naproxen 500mg suppositories",Naproxen
29010,"Phenylbutazone 100mg tablets",Phenylbutazone
29010,"Phenylbutazone 100mg tablets",Phenylbutazone
29010,"Phenylbutazone 100mg tablets",Phenylbutazone
27723,"Phenylbutazone 200mg tablets",Phenylbutazone
27723,"Phenylbutazone 200mg tablets",Phenylbutazone
27723,"Phenylbutazone 200mg tablets",Phenylbutazone
141,"Piroxicam 10mg capsules",Piroxicam
141,"Piroxicam 10mg capsules",Piroxicam
141,"Piroxicam 10mg capsules",Piroxicam
1755,"Piroxicam 20mg capsules",Piroxicam
1755,"Piroxicam 20mg capsules",Piroxicam
1755,"Piroxicam 20mg capsules",Piroxicam
2463,"Piroxicam 10mg dispersible tablets",Piroxicam
2463,"Piroxicam 10mg dispersible tablets",Piroxicam
2463,"Piroxicam 10mg dispersible tablets",Piroxicam
3710,"Piroxicam 20mg dispersible tablets",Piroxicam
3710,"Piroxicam 20mg dispersible tablets",Piroxicam
3710,"Piroxicam 20mg dispersible tablets",Piroxicam
3897,"Sulindac 100mg tablets",Sulindac
3897,"Sulindac 100mg tablets",Sulindac
3897,"Sulindac 100mg tablets",Sulindac
5482,"Sulindac 200mg tablets",Sulindac
5482,"Sulindac 200mg tablets",Sulindac
5482,"Sulindac 200mg tablets",Sulindac
7913,"Tiaprofenic acid 200mg tablets","Tiaprofenic acid"
7913,"Tiaprofenic acid 200mg tablets","Tiaprofenic acid"
2863,"Tiaprofenic acid 300mg tablets","Tiaprofenic acid"
2863,"Tiaprofenic acid 300mg tablets","Tiaprofenic acid"
2863,"Tiaprofenic acid 300mg tablets","Tiaprofenic acid"
344,"Acemetacin 60mg capsules",Acemetacin
344,"Acemetacin 60mg capsules",Acemetacin
344,"Acemetacin 60mg capsules",Acemetacin
2234,"Nabumetone 500mg tablets",Nabumetone
2234,"Nabumetone 500mg tablets",Nabumetone
2234,"Nabumetone 500mg tablets",Nabumetone
11466,"Nabumetone 500mg/5ml oral-suspension",Nabumetone
11466,"Nabumetone 500mg/5ml oral-suspension",Nabumetone
3974,"Tenoxicam 20mg tablets",Tenoxicam
3974,"Tenoxicam 20mg tablets",Tenoxicam
3974,"Tenoxicam 20mg tablets",Tenoxicam
526,"Aceclofenac 100mg tablets",Aceclofenac
526,"Aceclofenac 100mg tablets",Aceclofenac
526,"Aceclofenac 100mg tablets",Aceclofenac
3170,"Meloxicam 15mg suppositories",Meloxicam
2243,"Meloxicam 7.5mg tablets",Meloxicam
2243,"Meloxicam 7.5mg tablets",Meloxicam
2243,"Meloxicam 7.5mg tablets",Meloxicam
1469,"Meloxicam 15mg tablets",Meloxicam
1469,"Meloxicam 15mg tablets",Meloxicam
1469,"Meloxicam 15mg tablets",Meloxicam
11970,"Meloxicam 7.5mg suppositories",Meloxicam
5173,"Dexketoprofen 25mg tablets","Dexketoprofen trometamol"
5173,"Dexketoprofen 25mg tablets","Dexketoprofen trometamol"
5173,"Dexketoprofen 25mg tablets","Dexketoprofen trometamol"
628,"Diclofenac potassium 25mg tablets","Diclofenac potassium"
628,"Diclofenac potassium 25mg tablets","Diclofenac potassium"
628,"Diclofenac potassium 25mg tablets","Diclofenac potassium"
597,"Diclofenac potassium 50mg tablets","Diclofenac potassium"
597,"Diclofenac potassium 50mg tablets","Diclofenac potassium"
597,"Diclofenac potassium 50mg tablets","Diclofenac potassium"
518,"Rofecoxib 12.5mg tablets",Rofecoxib
518,"Rofecoxib 12.5mg tablets",Rofecoxib
706,"Rofecoxib 25mg tablets",Rofecoxib
706,"Rofecoxib 25mg tablets",Rofecoxib
706,"Rofecoxib 25mg tablets",Rofecoxib
640,"Rofecoxib 12.5mg/5ml oral suspension sugar free",Rofecoxib
640,"Rofecoxib 12.5mg/5ml oral suspension sugar free",Rofecoxib
637,"Rofecoxib 25mg/5ml oral suspension sugar free",Rofecoxib
637,"Rofecoxib 25mg/5ml oral suspension sugar free",Rofecoxib
5254,"Celecoxib 200mg capsules",Celecoxib
5254,"Celecoxib 200mg capsules",Celecoxib
5254,"Celecoxib 200mg capsules",Celecoxib
474,"Celecoxib 100mg capsules",Celecoxib
474,"Celecoxib 100mg capsules",Celecoxib
474,"Celecoxib 100mg capsules",Celecoxib
12766,"Flurbiprofen 8.75mg lozenges",Flurbiprofen
16637,"Ketorolac 10mg tablets","Ketorolac trometamol"
11952,"Phenylbutazone 100mg gastro-resistant tablets",Phenylbutazone
11952,"Phenylbutazone 100mg gastro-resistant tablets",Phenylbutazone
11952,"Phenylbutazone 100mg gastro-resistant tablets",Phenylbutazone
10149,"Ibuprofen 200mg capsules",Ibuprofen
10149,"Ibuprofen 200mg capsules",Ibuprofen
10149,"Ibuprofen 200mg capsules",Ibuprofen
723,"Valdecoxib 10mg tablets",Valdecoxib
723,"Valdecoxib 10mg tablets",Valdecoxib
6663,"Valdecoxib 20mg tablets",Valdecoxib
6663,"Valdecoxib 20mg tablets",Valdecoxib
5841,"Rofecoxib 50mg tablets",Rofecoxib
5841,"Rofecoxib 50mg tablets",Rofecoxib
16474,"Nabumetone 500mg dispersible tablets sugar free",Nabumetone
16474,"Nabumetone 500mg dispersible tablets sugar free",Nabumetone
28522,"Ibuprofen 200mg / Pseudoephedrine hydrochloride 30mg tablets","Ibuprofen/Pseudoephedrine hydrochloride"
650,"Etoricoxib 60mg tablets",Etoricoxib
650,"Etoricoxib 60mg tablets",Etoricoxib
650,"Etoricoxib 60mg tablets",Etoricoxib
5812,"Etoricoxib 90mg tablets",Etoricoxib
5812,"Etoricoxib 90mg tablets",Etoricoxib
5812,"Etoricoxib 90mg tablets",Etoricoxib
5938,"Etoricoxib 120mg tablets",Etoricoxib
5938,"Etoricoxib 120mg tablets",Etoricoxib
5938,"Etoricoxib 120mg tablets",Etoricoxib
18066,"Valdecoxib 40mg tablets",Valdecoxib
18066,"Valdecoxib 40mg tablets",Valdecoxib
29110,"Lornoxicam 4mg tablets",Lornoxicam
29110,"Lornoxicam 4mg tablets",Lornoxicam
30122,"Lornoxicam 8mg tablets",Lornoxicam
30122,"Lornoxicam 8mg tablets",Lornoxicam
30122,"Lornoxicam 8mg tablets",Lornoxicam
10325,"Dexibuprofen 300mg tablets",Dexibuprofen
10325,"Dexibuprofen 300mg tablets",Dexibuprofen
10325,"Dexibuprofen 300mg tablets",Dexibuprofen
11907,"Dexibuprofen 400mg tablets",Dexibuprofen
11907,"Dexibuprofen 400mg tablets",Dexibuprofen
11907,"Dexibuprofen 400mg tablets",Dexibuprofen
43616,"Celecoxib 400mg capsules",Celecoxib
43616,"Celecoxib 400mg capsules",Celecoxib
27782,"Ibuprofen 400mg tablets (Teva UK Ltd)",Ibuprofen
27782,"Ibuprofen 400mg tablets (Teva UK Ltd)",Ibuprofen
27782,"Ibuprofen 400mg tablets (Teva UK Ltd)",Ibuprofen
497,"Voltarol 25mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
497,"Voltarol 25mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
497,"Voltarol 25mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
14476,"Indolar SR 75mg capsules (Sandoz Ltd)",Indometacin
14476,"Indolar SR 75mg capsules (Sandoz Ltd)",Indometacin
14476,"Indolar SR 75mg capsules (Sandoz Ltd)",Indometacin
29772,"Ketotard XL 200mg capsules (Galen Ltd)",Ketoprofen
29772,"Ketotard XL 200mg capsules (Galen Ltd)",Ketoprofen
29772,"Ketotard XL 200mg capsules (Galen Ltd)",Ketoprofen
24122,"Diclofenac sodium 50mg gastro-resistant tablets (Actavis UK Ltd)","Diclofenac sodium"
24122,"Diclofenac sodium 50mg gastro-resistant tablets (Actavis UK Ltd)","Diclofenac sodium"
24122,"Diclofenac sodium 50mg gastro-resistant tablets (Actavis UK Ltd)","Diclofenac sodium"
20395,"Flamatak MR 75mg tablets (Actavis UK Ltd)","Diclofenac sodium"
20395,"Flamatak MR 75mg tablets (Actavis UK Ltd)","Diclofenac sodium"
20395,"Flamatak MR 75mg tablets (Actavis UK Ltd)","Diclofenac sodium"
10169,"Brexidol 20mg tablets (Chiesi Ltd)","Piroxicam betadex"
10169,"Brexidol 20mg tablets (Chiesi Ltd)","Piroxicam betadex"
10169,"Brexidol 20mg tablets (Chiesi Ltd)","Piroxicam betadex"
5175,"Celebrex 100mg capsules (Pfizer Ltd)",Celecoxib
5175,"Celebrex 100mg capsules (Pfizer Ltd)",Celecoxib
5175,"Celebrex 100mg capsules (Pfizer Ltd)",Celecoxib
53331,"Ibuprofen 100mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)",Ibuprofen
24137,"Indometacin 25mg capsules (Actavis UK Ltd)",Indometacin
24137,"Indometacin 25mg capsules (Actavis UK Ltd)",Indometacin
33357,"Pacifene 200mg tablets (Sussex Pharmaceutical Ltd)",Ibuprofen
33357,"Pacifene 200mg tablets (Sussex Pharmaceutical Ltd)",Ibuprofen
46942,"Ibuprofen 600mg tablets (IVAX Pharmaceuticals UK Ltd)",Ibuprofen
46942,"Ibuprofen 600mg tablets (IVAX Pharmaceuticals UK Ltd)",Ibuprofen
46942,"Ibuprofen 600mg tablets (IVAX Pharmaceuticals UK Ltd)",Ibuprofen
29332,"Ibuprofen 100mg/5ml oral suspension sugar free (Sandoz Ltd)",Ibuprofen
29332,"Ibuprofen 100mg/5ml oral suspension sugar free (Sandoz Ltd)",Ibuprofen
29332,"Ibuprofen 100mg/5ml oral suspension sugar free (Sandoz Ltd)",Ibuprofen
38944,"Froben SR 200mg capsules (Abbott Laboratories Ltd)",Flurbiprofen
38944,"Froben SR 200mg capsules (Abbott Laboratories Ltd)",Flurbiprofen
38944,"Froben SR 200mg capsules (Abbott Laboratories Ltd)",Flurbiprofen
30982,"Naproxen 500mg gastro-resistant tablets (Actavis UK Ltd)",Naproxen
30982,"Naproxen 500mg gastro-resistant tablets (Actavis UK Ltd)",Naproxen
30982,"Naproxen 500mg gastro-resistant tablets (Actavis UK Ltd)",Naproxen
30724,"Galprofen 100mg/5ml oral suspension (Galpharm International Ltd)",Ibuprofen
30724,"Galprofen 100mg/5ml oral suspension (Galpharm International Ltd)",Ibuprofen
46940,"Ketoprofen 100mg capsules (Mylan)",Ketoprofen
46940,"Ketoprofen 100mg capsules (Mylan)",Ketoprofen
46940,"Ketoprofen 100mg capsules (Mylan)",Ketoprofen
18798,"Lofensaid 50mg gastro-resistant tablets (Opus Pharmaceuticals Ltd)","Diclofenac sodium"
18798,"Lofensaid 50mg gastro-resistant tablets (Opus Pharmaceuticals Ltd)","Diclofenac sodium"
5200,"Voltarol 50mg suppositories (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
38992,"Flamrase 75mg SR tablets (Teva UK Ltd)","Diclofenac sodium"
38992,"Flamrase 75mg SR tablets (Teva UK Ltd)","Diclofenac sodium"
38992,"Flamrase 75mg SR tablets (Teva UK Ltd)","Diclofenac sodium"
3817,"Synflex 275mg tablets (Roche Products Ltd)","Naproxen sodium"
3817,"Synflex 275mg tablets (Roche Products Ltd)","Naproxen sodium"
3817,"Synflex 275mg tablets (Roche Products Ltd)","Naproxen sodium"
60115,"Naproxen 250mg tablets (Alliance Healthcare (Distribution) Ltd)",Naproxen
8663,"Naprosyn S/R 500mg tablets (Roche Products Ltd)","Naproxen sodium"
8663,"Naprosyn S/R 500mg tablets (Roche Products Ltd)","Naproxen sodium"
8663,"Naprosyn S/R 500mg tablets (Roche Products Ltd)","Naproxen sodium"
16193,"Motrin 800mg tablets (Pfizer Ltd)",Ibuprofen
16193,"Motrin 800mg tablets (Pfizer Ltd)",Ibuprofen
41623,"Piroxicam 20mg capsules (IVAX Pharmaceuticals UK Ltd)",Piroxicam
41623,"Piroxicam 20mg capsules (IVAX Pharmaceuticals UK Ltd)",Piroxicam
41623,"Piroxicam 20mg capsules (IVAX Pharmaceuticals UK Ltd)",Piroxicam
14380,"Lederfen 300mg capsules (Mercury Pharma Group Ltd)",Fenbufen
14380,"Lederfen 300mg capsules (Mercury Pharma Group Ltd)",Fenbufen
25361,"Diclovol 25mg gastro-resistant tablets (Arun Pharmaceuticals Ltd)","Diclofenac sodium"
25361,"Diclovol 25mg gastro-resistant tablets (Arun Pharmaceuticals Ltd)","Diclofenac sodium"
1470,"Mobic 15mg tablets (Boehringer Ingelheim Ltd)",Meloxicam
1470,"Mobic 15mg tablets (Boehringer Ingelheim Ltd)",Meloxicam
1470,"Mobic 15mg tablets (Boehringer Ingelheim Ltd)",Meloxicam
17680,"Indomax 75 SR capsules (Ashbourne Pharmaceuticals Ltd)",Indometacin
17680,"Indomax 75 SR capsules (Ashbourne Pharmaceuticals Ltd)",Indometacin
56925,"Naproxen 250mg tablets (Actavis UK Ltd)",Naproxen
3935,"Feldene 20 capsules (Pfizer Ltd)",Piroxicam
3935,"Feldene 20 capsules (Pfizer Ltd)",Piroxicam
3935,"Feldene 20 capsules (Pfizer Ltd)",Piroxicam
37750,"Piroxicam 20mg capsules (Mylan)",Piroxicam
37750,"Piroxicam 20mg capsules (Mylan)",Piroxicam
37750,"Piroxicam 20mg capsules (Mylan)",Piroxicam
18647,"Fenoket 200mg modified-release capsules (Opus Pharmaceuticals Ltd)",Ketoprofen
18647,"Fenoket 200mg modified-release capsules (Opus Pharmaceuticals Ltd)",Ketoprofen
18647,"Fenoket 200mg modified-release capsules (Opus Pharmaceuticals Ltd)",Ketoprofen
33321,"Indometacin 50mg capsules (Actavis UK Ltd)",Indometacin
33321,"Indometacin 50mg capsules (Actavis UK Ltd)",Indometacin
24308,"Slo-Indo 75mg capsules (Mylan)",Indometacin
24308,"Slo-Indo 75mg capsules (Mylan)",Indometacin
25701,"Ketovail 200mg modified-release capsules (Teva UK Ltd)",Ketoprofen
25701,"Ketovail 200mg modified-release capsules (Teva UK Ltd)",Ketoprofen
25701,"Ketovail 200mg modified-release capsules (Teva UK Ltd)",Ketoprofen
21824,"Flamrase 50 EC tablets (Teva UK Ltd)","Diclofenac sodium"
21824,"Flamrase 50 EC tablets (Teva UK Ltd)","Diclofenac sodium"
21824,"Flamrase 50 EC tablets (Teva UK Ltd)","Diclofenac sodium"
754,"Mobic 7.5mg suppositories (Boehringer Ingelheim Ltd)",Meloxicam
28348,"Ibuprofen 200mg tablets (Teva UK Ltd)",Ibuprofen
28348,"Ibuprofen 200mg tablets (Teva UK Ltd)",Ibuprofen
28348,"Ibuprofen 200mg tablets (Teva UK Ltd)",Ibuprofen
8271,"Benoral 750mg tablets (Sanofi-Synthelabo Ltd)",Benorilate
34595,"Mefenamic acid 500mg tablets (Zentiva)","Mefenamic acid"
34595,"Mefenamic acid 500mg tablets (Zentiva)","Mefenamic acid"
34595,"Mefenamic acid 500mg tablets (Zentiva)","Mefenamic acid"
14085,"Diclovol Retard 100mg tablets (Arun Pharmaceuticals Ltd)","Diclofenac sodium"
14085,"Diclovol Retard 100mg tablets (Arun Pharmaceuticals Ltd)","Diclofenac sodium"
7524,"Feldene 20mg dispersible tablets (Pfizer Ltd)",Piroxicam
7524,"Feldene 20mg dispersible tablets (Pfizer Ltd)",Piroxicam
7524,"Feldene 20mg dispersible tablets (Pfizer Ltd)",Piroxicam
3739,"Rheumox 300mg capsules (Mercury Pharma Group Ltd)",Azapropazone
58221,"Naproxen 250mg gastro-resistant tablets (Actavis UK Ltd)",Naproxen
31950,"Diclofenac sodium 50mg gastro-resistant tablets (Sterwin Medicines)","Diclofenac sodium"
31950,"Diclofenac sodium 50mg gastro-resistant tablets (Sterwin Medicines)","Diclofenac sodium"
31950,"Diclofenac sodium 50mg gastro-resistant tablets (Sterwin Medicines)","Diclofenac sodium"
27366,"Naproxen 500mg gastro-resistant tablets (Teva UK Ltd)",Naproxen
27366,"Naproxen 500mg gastro-resistant tablets (Teva UK Ltd)",Naproxen
27366,"Naproxen 500mg gastro-resistant tablets (Teva UK Ltd)",Naproxen
40215,"Oruvail 100 modified-release capsules (Sanofi)",Ketoprofen
40215,"Oruvail 100 modified-release capsules (Sanofi)",Ketoprofen
40215,"Oruvail 100 modified-release capsules (Sanofi)",Ketoprofen
54304,"Naproxen 500mg tablets (Actavis UK Ltd)",Naproxen
1866,"Naprosyn 500mg tablets (Atnahs Pharma UK Ltd)",Naproxen
1866,"Naprosyn 500mg tablets (Atnahs Pharma UK Ltd)",Naproxen
1866,"Naprosyn 500mg tablets (Atnahs Pharma UK Ltd)",Naproxen
34793,"Mefenamic acid 250mg capsules (Zentiva)","Mefenamic acid"
34793,"Mefenamic acid 250mg capsules (Zentiva)","Mefenamic acid"
34793,"Mefenamic acid 250mg capsules (Zentiva)","Mefenamic acid"
20385,"Arthrosin 500 tablets (Ashbourne Pharmaceuticals Ltd)",Naproxen
20385,"Arthrosin 500 tablets (Ashbourne Pharmaceuticals Ltd)",Naproxen
30923,"Diclofenac 100mg suppositories (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
1496,"Indocid R 75mg capsules (Merck Sharp & Dohme Ltd)",Indometacin
1496,"Indocid R 75mg capsules (Merck Sharp & Dohme Ltd)",Indometacin
1496,"Indocid R 75mg capsules (Merck Sharp & Dohme Ltd)",Indometacin
38881,"Diclomax SR 75mg capsules (Galen Ltd)","Diclofenac sodium"
38881,"Diclomax SR 75mg capsules (Galen Ltd)","Diclofenac sodium"
38881,"Diclomax SR 75mg capsules (Galen Ltd)","Diclofenac sodium"
17165,"Nycopren 500mg gastro-resistant tablets (Ardern Healthcare Ltd)",Naproxen
17165,"Nycopren 500mg gastro-resistant tablets (Ardern Healthcare Ltd)",Naproxen
32108,"Diclofenac sodium 25mg gastro-resistant tablets (Teva UK Ltd)","Diclofenac sodium"
32108,"Diclofenac sodium 25mg gastro-resistant tablets (Teva UK Ltd)","Diclofenac sodium"
32108,"Diclofenac sodium 25mg gastro-resistant tablets (Teva UK Ltd)","Diclofenac sodium"
3972,"Naprosyn EC 250mg tablets (Atnahs Pharma UK Ltd)",Naproxen
3972,"Naprosyn EC 250mg tablets (Atnahs Pharma UK Ltd)",Naproxen
3972,"Naprosyn EC 250mg tablets (Atnahs Pharma UK Ltd)",Naproxen
13459,"Dysman 500 tablets (Ashbourne Pharmaceuticals Ltd)","Mefenamic acid"
13459,"Dysman 500 tablets (Ashbourne Pharmaceuticals Ltd)","Mefenamic acid"
33994,"Diclofenac sodium 25mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)","Diclofenac sodium"
33994,"Diclofenac sodium 25mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)","Diclofenac sodium"
33994,"Diclofenac sodium 25mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)","Diclofenac sodium"
15201,"Volraman 50mg gastro-resistant tablets (LPC Medical (UK) Ltd)","Diclofenac sodium"
15201,"Volraman 50mg gastro-resistant tablets (LPC Medical (UK) Ltd)","Diclofenac sodium"
15201,"Volraman 50mg gastro-resistant tablets (LPC Medical (UK) Ltd)","Diclofenac sodium"
70221,"Mefenamic acid 250mg capsules (Alliance Healthcare (Distribution) Ltd)","Mefenamic acid"
39264,"Dicloflex Retard 100mg tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
39264,"Dicloflex Retard 100mg tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
39264,"Dicloflex Retard 100mg tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
39109,"Feldene Melt 20mg tablets (Pfizer Ltd)",Piroxicam
39109,"Feldene Melt 20mg tablets (Pfizer Ltd)",Piroxicam
39109,"Feldene Melt 20mg tablets (Pfizer Ltd)",Piroxicam
40086,"Acoflam 50mg gastro-resistant tablets (Mercury Pharma Group Ltd)","Diclofenac sodium"
40086,"Acoflam 50mg gastro-resistant tablets (Mercury Pharma Group Ltd)","Diclofenac sodium"
9500,"Diclotard 75mg modified-release tablets (Galen Ltd)","Diclofenac sodium"
9500,"Diclotard 75mg modified-release tablets (Galen Ltd)","Diclofenac sodium"
9500,"Diclotard 75mg modified-release tablets (Galen Ltd)","Diclofenac sodium"
10209,"Ibufem 200mg tablets (Galpharm International Ltd)",Ibuprofen
10209,"Ibufem 200mg tablets (Galpharm International Ltd)",Ibuprofen
10209,"Ibufem 200mg tablets (Galpharm International Ltd)",Ibuprofen
71314,"Ibuprofen 200mg tablets (Kent Pharmaceuticals Ltd)",Ibuprofen
30849,"Valdic 75 Retard tablets (Fannin UK Ltd)","Diclofenac sodium"
