"symptom","version","read","desc","possible","new_code"
"Abdominal pain",2,"25D4.","o/e - guarding-l.hypochondrium",0,0
"Abdominal pain",2,"25D6.","o/e - guarding - umbilical",0,0
"Abdominal pain",2,"25D8.","o/e - guarding - r.iliac",0,0
"Abdominal pain",2,"25D9.","o/e - guarding - hypogastrium",0,0
"Abdominal pain",2,"25DA.","o/e - guarding - l.iliac",0,0
"Abdominal pain",2,"25DZ.","o/e -guarding on palpation nos",0,0
"Abdominal pain",2,"25E..","o/e - rebound tenderness",0,0
"Abdominal pain",2,"25EZ.","o/e - rebound tenderness nos",0,0
"Abdominal pain",2,"25F..","o/e - abdominal rigidity",0,0
"Abdominal pain",2,"25F2.","o/e - acute abdomen",0,1
"Abdominal pain",2,"2I18.","O/E - tenderness/pain",0,0
"Abdominal pain",2,"2I181","tenderness of epigastrium",0,0
"Abdominal pain",2,"E2780","psychogenic pain unspecified",0,0
"Abdominal pain",2,"R0732","[d]gas pain (abdominal)",0,0
"Abdominal pain",2,"R090.","[d]abdominal pain",0,0
"Abdominal pain",2,"R0900","[d]abdominal tenderness",0,0
"Abdominal pain",2,"R0901","[d]abdominal colic",0,0
"Abdominal pain",2,"R0902","[d]colic nos",0,0
"Abdominal pain",2,"R0903","[d]evening colic",0,1
"Abdominal pain",2,"R0904","[d]abdominal cramps",0,0
"Abdominal pain",2,"R0905","[d]epigastric pain",0,0
"Abdominal pain",2,"R0906","[d]umbilical pain",0,0
"Abdominal pain",2,"R0907","[d]hypochondrial pain",0,0
"Abdominal pain",2,"R0908","[d]suprapubic pain",0,0
"Abdominal pain",2,"R0909","[d]pain in right iliac fossa",0,0
"Abdominal pain",2,"R090A","[d]pain in left iliac fossa",0,0
"Abdominal pain",2,"R090C","[d]loin pain",0,0
"Abdominal pain",2,"R090E","[d]recurrent acute abdominal pain",0,0
"Abdominal pain",2,"R090F","[d]acute abdomen",0,0
"Abdominal pain",2,"R090H","[d]upper abdominal pain",0,0
"Abdominal pain",2,"R090J","[d]right upper quadrant pain",0,0
"Abdominal pain",2,"R090K","[d]left upper quadrant pain",0,0
"Abdominal pain",2,"R090L","[d]left lower quadrant pain",0,0
"Abdominal pain",2,"R090M","[d]right lower quadrant pain",0,0
"Abdominal pain",2,"R090N","[d]nonspecific abdominal pain",0,0
"Abdominal pain",2,"R090P","[d]functional abdominal pain syndrome",0,0
"Abdominal pain",2,"R090y","[d]other specified abdominal pain",0,0
"Abdominal pain",2,"R090z","[d]abdominal pain nos",0,0
"Abdominal pain",2,"R094.","[d]abdominal rigidity",0,1
"Abdominal pain",2,"R096.","[d]acute abdomen",0,0
"Abdominal pain",2,"Ryu10","[x]pain localized to other parts of lower abdomen",0,0
"Abdominal pain",2,"Ryu11","[x]other and unspecified abdominal pain",0,0
"Abdominal pain",3,".1829","Retrosternal pain",0,0
"Abdominal pain",3,".196.","Type of GIT pain",0,0
"Abdominal pain",3,".1962","Abdominal colic",0,0
"Abdominal pain",3,".1963","Non-colicky abdominal pain",0,0
"Abdominal pain",3,".1968","Abdominal discomfort",0,0
"Abdominal pain",3,".1969","Abdominal pain",0,0
"Abdominal pain",3,".196Z","Type of GIT pain NOS",0,0
"Abdominal pain",3,".197.","flank pain",0,1
"Abdominal pain",3,".1971","Central abdominal pain",0,0
"Abdominal pain",3,".1972","Epigastric pain",0,0
"Abdominal pain",3,".1973","Left subcostal pain",0,0
"Abdominal pain",3,".1974","right subcostal pain",1,1
"Abdominal pain",3,".1975","Left flank pain",0,0
"Abdominal pain",3,".1976","Right flank pain",0,0
"Abdominal pain",3,".1977","right iliac fossa pain",0,1
"Abdominal pain",3,".1978","left iliac fossa pain",0,1
"Abdominal pain",3,".1979","Suprapubic pain",0,0
"Abdominal pain",3,".197A","Generalised abdominal pain",0,0
"Abdominal pain",3,".197B","Upper abdominal pain",0,0
"Abdominal pain",3,".197C","Lower abdominal pain",0,0
"Abdominal pain",3,".197D","Right upper quadrant pain",0,0
"Abdominal pain",3,".197Z","Site of GIT pain NOS",0,0
"Abdominal pain",3,".1A53","loin pain",0,1
"Abdominal pain",3,".1DC5","Griping pain",0,0
"Abdominal pain",3,".25C.","o/e - abdominal pain",0,1
"Abdominal pain",3,".25C1","o/e - no abd.pain on palpation",0,1
"Abdominal pain",3,".25C2","O/E - abd.pain-R.hypochondrium",0,0
"Abdominal pain",3,".25C3","O/E - abd. pain - epigastrium",0,0
"Abdominal pain",3,".25C4","O/E - abd.pain-L.hypochondrium",0,0
"Abdominal pain",3,".25C5","O/E - abd. pain - R.lumbar",0,0
"Abdominal pain",3,".25C6","O/E - abd. pain - umbilical",0,0
"Abdominal pain",3,".25C7","O/E - abd. pain - L.lumbar",0,0
"Abdominal pain",3,".25C8","o/e - abd. pain - r.iliac",0,1
"Abdominal pain",3,".25C9","O/E - abd. pain - hypogastrium",0,0
"Abdominal pain",3,".25CZ","O/E -abd.pain on palpation NOS",0,0
"Abdominal pain",3,".25D.","O/E - guarding on palpation",0,0
"Abdominal pain",3,".25D2","O/E - guarding-R.hypochondrium",0,0
"Abdominal pain",3,".25D3","O/E - guarding - epigastrium",0,0
"Abdominal pain",3,".25D4","O/E - guarding-L.hypochondrium",0,0
"Abdominal pain",3,".25D6","O/E - guarding - umbilical",0,0
"Abdominal pain",3,".25D8","O/E - guarding - R.iliac",0,0
"Abdominal pain",3,".25D9","O/E - guarding - hypogastrium",0,0
"Abdominal pain",3,".25DA","O/E - guarding - L.iliac",0,0
"Abdominal pain",3,".25DZ","O/E -guarding on palpation NOS",0,0
"Abdominal pain",3,".25E.","O/E - rebound tenderness",0,0
"Abdominal pain",3,".25EZ","O/E - rebound tenderness NOS",0,0
"Abdominal pain",3,".25F.","O/E - abdominal rigidity",0,0
"Abdominal pain",3,".25FZ","o/e - abdominal rigidity nos",0,1
"Abdominal pain",3,".2I18","O/E - tenderness/pain",0,0
"Abdominal pain",3,".R90.","[D]Abdominal pain",0,0
"Abdominal pain",3,".R900","[D]Acute abdomen",0,0
"Abdominal pain",3,".R901","[D]Abdominal tenderness",0,0
"Abdominal pain",3,".R902","[D]Abdominal colic",0,0
"Abdominal pain",3,".R903","colic           [d]",0,1
"Abdominal pain",3,".R904","[d]evening colic",0,1
"Abdominal pain",3,".R905","[D]Abdominal cramps",0,0
"Abdominal pain",3,".R906","[D]Epigastric pain",0,0
"Abdominal pain",3,".R907","[D]Umbilical pain",0,0
"Abdominal pain",3,".R908","[D]Hypochondrial pain",0,0
"Abdominal pain",3,".R909","[D]Suprapubic pain",0,0
"Abdominal pain",3,".R90A","[D]Pain in right iliac fossa",0,0
"Abdominal pain",3,".R90B","[D]Pain in left iliac fossa",0,0
"Abdominal pain",3,".R90C","[D]Loin pain",0,0
"Abdominal pain",3,".R90Z","[D]Abdominal pain NOS",0,0
"Abdominal pain",3,".R94.","[d]abdominal rigidity",0,1
"Abdominal pain",3,"1829.","Retrosternal pain",0,0
"Abdominal pain",3,"196..","type of git pain",0,0
"Abdominal pain",3,"1962.","Abdominal colic",0,0
"Abdominal pain",3,"1963.","Non-colicky abdominal pain",0,0
"Abdominal pain",3,"1968.","Abdominal discomfort",0,0
"Abdominal pain",3,"1969.","Abdominal pain",0,0
"Abdominal pain",3,"19690","abdominal wall pain",1,0
"Abdominal pain",3,"196Z.","Type of GIT pain NOS",0,0
"Abdominal pain",3,"197..","flank pain",0,0
"Abdominal pain",3,"1971.","Central abdominal pain",0,0
"Abdominal pain",3,"1972.","Epigastric pain",0,0
"Abdominal pain",3,"1973.","Left subcostal pain",0,0
"Abdominal pain",3,"1974.","right subcostal pain",1,1
"Abdominal pain",3,"1975.","Left flank pain",0,0
"Abdominal pain",3,"1976.","Right flank pain",0,0
"Abdominal pain",3,"1977.","Right iliac fossa pain",0,0
"Abdominal pain",3,"1978.","Left iliac fossa pain",0,0
"Abdominal pain",3,"1979.","Suprapubic pain",0,0
"Abdominal pain",3,"197A.","Generalised abdominal pain",0,0
"Abdominal pain",3,"197B.","Upper abdominal pain",0,0
"Abdominal pain",3,"197C.","Lower abdominal pain",0,0
"Abdominal pain",3,"197D.","right upper quadrant pain",0,0
"Abdominal pain",3,"197Z.","Site of GIT pain NOS",0,0
"Abdominal pain",3,"1A53.","c/o - loin pain",0,0
"Abdominal pain",3,"1DC5.","Griping pain",0,0
"Abdominal pain",3,"25C..","o/e - abdo. pain on palpation",0,0
"Abdominal pain",3,"25C1.","o/e - no abd.pain on palpation",0,1
"Abdominal pain",3,"25C2.","O/E - abd.pain-R.hypochondrium",0,0
"Abdominal pain",3,"25C3.","O/E - abd. pain - epigastrium",0,0
"Abdominal pain",3,"25C4.","O/E - abd.pain-L.hypochondrium",0,0
"Abdominal pain",3,"25C5.","O/E - abd. pain - R.lumbar",0,0
"Abdominal pain",3,"25C6.","O/E - abd. pain - umbilical",0,0
"Abdominal pain",3,"25C7.","O/E - abd. pain - L.lumbar",0,0
"Abdominal pain",3,"25C8.","o/e - abd. pain - r.iliac",0,0
"Abdominal pain",3,"25C9.","O/E - abd. pain - hypogastrium",0,0
"Abdominal pain",3,"25CA.","o/e - abd. pain - l.iliac",0,0
"Abdominal pain",3,"25CZ.","O/E -abd.pain on palpation NOS",0,0
"Abdominal pain",3,"25D..","O/E - guarding on palpation",0,0
"Abdominal pain",3,"25D2.","O/E - guarding-R.hypochondrium",0,0
"Abdominal pain",3,"25D3.","O/E - guarding - epigastrium",0,0
"Abdominal pain",3,"25D4.","O/E - guarding-L.hypochondrium",0,0
"Abdominal pain",3,"25D6.","O/E - guarding - umbilical",0,0
"Abdominal pain",3,"25D8.","O/E - guarding - R.iliac",0,0
"Abdominal pain",3,"25D9.","O/E - guarding - hypogastrium",0,0
"Abdominal pain",3,"25DA.","O/E - guarding - L.iliac",0,0
"Abdominal pain",3,"25DZ.","O/E -guarding on palpation NOS",0,0
"Abdominal pain",3,"25E..","O/E - rebound tenderness",0,0
"Abdominal pain",3,"25EZ.","O/E - rebound tenderness NOS",0,0
"Abdominal pain",3,"25F..","O/E - abdominal rigidity",0,0
"Abdominal pain",3,"25F2.","o/e - acute abdomen",0,1
"Abdominal pain",3,"25FZ.","o/e - abdominal rigidity nos",0,1
"Abdominal pain",3,"2I18.","O/E - tenderness/pain",0,0
"Abdominal pain",3,"2I181","tenderness of epigastrium",0,0
"Abdominal pain",3,"E2780","psychogenic pain unspecified",0,0
"Abdominal pain",3,"R0732","[d]gas pain (abdominal)",1,0
"Abdominal pain",3,"R090.","[D]Abdominal pain",0,0
"Abdominal pain",3,"R0900","[D]Abdominal tenderness",0,0
"Abdominal pain",3,"R0901","[D]Abdominal colic",0,0
"Abdominal pain",3,"R0902","[d]colic nos",0,0
"Abdominal pain",3,"R0903","[d]evening colic",0,1
"Abdominal pain",3,"R0904","[D]Abdominal cramps",0,0
"Abdominal pain",3,"R0905","[D]Epigastric pain",0,0
"Abdominal pain",3,"R0906","[D]Umbilical pain",0,0
"Abdominal pain",3,"R0907","[D]Hypochondrial pain",0,0
"Abdominal pain",3,"R0908","[D]Suprapubic pain",0,0
"Abdominal pain",3,"R0909","[D]Pain in right iliac fossa",0,0
"Abdominal pain",3,"R090A","[D]Pain in left iliac fossa",0,0
"Abdominal pain",3,"R090C","[D]Loin pain",0,0
"Abdominal pain",3,"R090E","[d]recurrent acute abdominal pain",0,0
"Abdominal pain",3,"R090F","[D]Acute abdomen",0,0
"Abdominal pain",3,"R090H","[d] upper abdominal pain",0,0
"Abdominal pain",3,"R090J","[d] right upper quadrant pain",0,0
"Abdominal pain",3,"R090K","[d] left upper quadrant pain",0,0
"Abdominal pain",3,"R090L","[d]left lower quadrant pain",0,0
"Abdominal pain",3,"R090M","[d]right lower quadrant pain",0,0
"Abdominal pain",3,"R090N","[d]nonspecific abdominal pain",0,0
"Abdominal pain",3,"R090P","[d]functional abdominal pain syndrome",0,0
"Abdominal pain",3,"R090y","[d]other specified abdominal pain",0,0
"Abdominal pain",3,"R090z","[D]Abdominal pain NOS",0,0
"Abdominal pain",3,"R094.","[d]abdominal rigidity",0,1
"Abdominal pain",3,"R096.","[d]acute abdomen",0,0
"Abdominal pain",3,"Ryu10","[x]pain localised to other parts of lower abdomen",0,0
"Abdominal pain",3,"Ryu11","[x]other and unspecified abdominal pain",0,0
"Abdominal pain",3,"X3062","chronic nonspecific abdominal pain",0,1
"Abdominal pain",3,"X75rQ","abdominal tenderness",0,1
"Abdominal pain",3,"X75rc","Generalised abdominal pain",0,0
"Abdominal pain",3,"X75rd","Subcostal pain",0,0
"Abdominal pain",3,"X75re","site of abdominal pain",0,0
"Abdominal pain",3,"X75rf","iliac fossa pain",0,0
"Abdominal pain",3,"X75rg","flank pain",0,0
"Abdominal pain",3,"X75rh","type of git pain - symptom",0,0
"Abdominal pain",3,"X75ri","abdominal pain type",0,0
"Abdominal pain",3,"X75rm","evening colic",0,1
"Abdominal pain",3,"X76dT","abdominal cramps",0,1
"Abdominal pain",3,"XE0r9","site of git pain",0,0
"Abdominal pain",3,"XE0uZ","flank pain",0,1
"Abdominal pain",3,"XE0up","loin pain",0,1
"Abdominal pain",3,"XE1hU","o/e - abdo. pain on palpation",0,0
"Abdominal pain",3,"XE1hV","o/e - acute abdomen",0,1
"Abdominal pain",3,"XE1iM","O/E - tenderness/pain",0,0
"Abdominal pain",3,"XE1jA","o/e - abdominal pain",0,1
"Abdominal pain",3,"XE1jC","o/e - abd. pain - r.iliac",0,1
"Abdominal pain",3,"XE2Pt","Type of GIT pain",0,0
"Abdominal pain",3,"XE2cT","right iliac fossa pain",0,1
"Abdominal pain",3,"XE2cV","left iliac fossa pain",0,1
"Abdominal pain",3,"XM03B","rebound tenderness",0,1
"Abdominal pain",3,"XM03C","board-like abdominal rigidity",0,1
"Abdominal pain",3,"XM08K","flatulence, eructation and gas pain",0,1
"Abdominal pain",3,"XM08N","gas pain - abdominal",0,1
"Abdominal pain",3,"XM08w","abdominal cramps",0,1
"Abdominal pain",3,"XM08x","umbilical pain",0,1
"Abdominal pain",3,"XM08y","hypochondrial pain",0,1
"Abdominal pain",3,"XM08z","Right iliac fossa pain",0,0
"Abdominal pain",3,"XM090","Left iliac fossa pain",0,0
"Abdominal pain",3,"XM092","loin pain",0,1
"Abdominal pain",3,"XM093","recurrent acute abdominal pain",0,1
"Abdominal pain",3,"XM094","other specified abdominal pain",0,1
"Abdominal pain",3,"XM098","abdominal rigidity",0,1
"Abdominal pain",3,"XM0Cp","c/o - loin pain",0,1
"Abdominal pain",3,"XM0Cq","C/O - lumbar pain",0,0
"Abdominal pain",3,"XM0zS","acute abdomen",0,1
"Abdominal pain",3,"XM0zT","colic           [d]",0,1
"Abdominal pain",3,"XM10Y","c/o right iliac fossa pain",0,1
"Abdominal pain",3,"XM10Z","c/o left iliac fossa pain",0,1
"Abdominal pain",3,"XM118","o/e - abdominal pain",0,1
"Abdominal pain",3,"XM119","o/e - epigastric pain",0,1
"Abdominal pain",3,"XM11A","o/e - iliac pain - abd.",0,1
"Abdominal pain",3,"XM11C","o/e-umbilical pain-abd.",0,1
"Abdominal pain",3,"XM1B9","pain localised to other parts of lower abdomen",0,1
"Abdominal pain",3,"XM1NH","o/e - iliac pain on palpation",0,0
"Abdominal pain",3,"XM1NI","O/E - lumbar pain on palpation",0,0
"Abdominal pain",3,"XM1XO","O/E - tenderness",0,0
"Abdominal pain",3,"Xa35t","left sided abdominal pain",0,1
"Abdominal pain",3,"Xa35u","right sided abdominal pain",0,1
"Abdominal pain",3,"Xa7Vz","observation of abdominal rigidity",0,1
"Abdominal pain",3,"Xa7wu","right hypochondrial pain",0,1
"Abdominal pain",3,"Xa7wv","left hypochondrial pain",0,1
"Abdominal pain",3,"Xa7xW","tenderness of epigastrium",0,0
"Abdominal pain",3,"Xa7xf","rebound tenderness of epigastrium",0,1
"Abdominal pain",3,"Xa7xg","rebound tenderness of right hypochondrium",0,1
"Abdominal pain",3,"Xa7xh","rebound tenderness of left hypochondrium",0,1
"Abdominal pain",3,"Xa7xi","rebound tenderness of central region",0,1
"Abdominal pain",3,"Xa7xl","rebound tenderness of hypogastrium",0,1
"Abdominal pain",3,"Xa7xm","rebound tenderness of right iliac fossa",0,1
"Abdominal pain",3,"Xa7xn","rebound tenderness of left iliac fossa",0,1
"Abdominal pain",3,"Xa83q","left upper quadrant pain",0,1
"Abdominal pain",3,"Xa83r","left lower quadrant pain",0,1
"Abdominal pain",3,"Xa83s","Right upper quadrant pain",0,0
"Abdominal pain",3,"Xa84T","right lower quadrant pain",0,1
"Abdominal pain",3,"XaA06","nonspecific abdominal pain",0,1
"Abdominal pain",3,"XaB1I","psychosomatic abdominal pain",0,1
"Abdominal pain",3,"XaBDO","[d] right upper quadrant pain",0,0
"Abdominal pain",3,"XaBDQ","[d] left upper quadrant pain",0,0
"Abdominal pain",3,"XaBDR","[d] upper abdominal pain",0,0
"Abdominal pain",3,"XaBfE","o/e - epigastric pain on palp.",0,0
"Abdominal pain",3,"XaD2x","[d]left lower quadrant pain",0,0
"Abdominal pain",3,"XaD2y","[d]right lower quadrant pain",0,0
"Abdominal pain",3,"XaD2z","[d]nonspecific abdominal pain",0,0
"Abdominal pain",3,"XaEW1","abdominal pain in early pregnancy",1,1
"Abdominal pain",3,"XaEiJ","unexplained abdominal pain",0,1
"Abdominal pain",3,"XaY2H","[d]functional abdominal pain syndrome",0,0
"Abdominal bloating",2,"19A..","abdominal distension symptom",0,0
"Abdominal bloating",2,"19A2.","abdomen feels bloated",0,0
"Abdominal bloating",2,"19A3.","abdomen feels distended",0,0
"Abdominal bloating",2,"19AZ.","abd. distension symptom nos",0,0
"Abdominal bloating",2,"19B..","wind symptom",0,0
"Abdominal bloating",2,"19B2.","excessive flatulence",0,1
"Abdominal bloating",2,"19B4.","excessive eructation",0,1
"Abdominal bloating",2,"R073.","[d]flatulence, eructation and gas pain",0,1
"Abdominal bloating",2,"R0730","[d]flatulence",0,1
"Abdominal bloating",2,"R0731","[d]eructation",0,1
"Abdominal bloating",2,"R0733","[d]abdominal distension, gaseous",0,0
"Abdominal bloating",2,"R0734","[d]bloating",0,0
"Abdominal bloating",2,"R073z","[d]flatulence, eructation and gas pain nos",0,1
"Abdominal bloating",3,".19A.","Abdominal distension symptom",0,0
"Abdominal bloating",3,".19A2","Abdomen feels bloated",0,0
"Abdominal bloating",3,".19A3","Abdomen feels distended",0,0
"Abdominal bloating",3,".19AZ","Abd. distension symptom NOS",0,0
"Abdominal bloating",3,".19B.","Bloating symptom",0,0
"Abdominal bloating",3,".19B2","excessive flatulence",0,1
"Abdominal bloating",3,".19B4","excessive eructation",0,1
"Abdominal bloating",3,".R73.","[d]flatulence",0,1
"Abdominal bloating",3,".R730","[d]eructation",0,1
"Abdominal bloating",3,".R732","[D]Abdominal distension, gaseous",0,0
"Abdominal bloating",3,".R733","[D]Bloating",0,0
"Abdominal bloating",3,".R73Z","[d]flatulence",0,1
"Abdominal bloating",3,"19A..","Abdominal distension symptom",0,0
"Abdominal bloating",3,"19A2.","Abdomen feels bloated",0,0
"Abdominal bloating",3,"19A3.","Abdomen feels distended",0,0
"Abdominal bloating",3,"19AZ.","Abd. distension symptom NOS",0,0
"Abdominal bloating",3,"19B..","Bloating symptom",0,0
"Abdominal bloating",3,"19B2.","excessive flatulence",0,1
"Abdominal bloating",3,"19B4.","excessive eructation",0,1
"Abdominal bloating",3,"R073.","[d]flatulence, eructation and gas pain",0,1
"Abdominal bloating",3,"R0730","[d]flatulence",0,1
"Abdominal bloating",3,"R0731","[d]eructation",0,1
"Abdominal bloating",3,"R0733","[D]Abdominal distension, gaseous",0,0
"Abdominal bloating",3,"R0734","[D]Bloating",0,0
"Abdominal bloating",3,"R073z","[d]flatulence, eructation and gas pain nos",0,1
"Abdominal bloating",3,"Ub1Sa","belching voice",1,1
"Abdominal bloating",3,"X76FC","bloating symptom",0,0
"Abdominal bloating",3,"X76d2","involuntary passage of flatulence",0,1
"Abdominal bloating",3,"XE0rC","flatulence/wind",0,1
"Abdominal bloating",3,"XM08M","burping",0,1
"Abdominal bloating",3,"XM08O","abdominal distension, gaseous",0,1
"Abdominal bloating",3,"XM1N0","wind symptom",0,1
"Abdominal bloating",3,"XM1N1","belching symptom",0,1
"Abdominal bloating",3,"Xa30B","burping in public",0,1
"Abdominal bloating",3,"Xa7V2","observation of flatulence",0,1
"Abdominal bloating",3,"Xa7Vf","abdominal distension",0,1
"Abdominal bloating",3,"XaBYS","flatulence symptom",0,1
"Abdominal bloating",3,"XaBsc","[d]flatulence nos",0,1
"Breast lump",2,"1A8..","breast lump symptom",0,0
"Breast lump",2,"1A82.","breast lump present",0,0
"Breast lump",2,"1A83.","breast lump detected by clinician examination",0,0
"Breast lump",2,"1A84.","breast lump detected by mammogram",0,0
"Breast lump",2,"1A85.","breast lump detected by partner",0,0
"Breast lump",2,"1A86.","breast lump detected by self-examination",0,0
"Breast lump",2,"1A8Z.","breast lump symptom nos",0,0
"Breast lump",2,"26B7.","lumpy breasts",0,0
"Breast lump",2,"26E..","o/e - breast lump palpated",0,0
"Breast lump",2,"26E2.","o/e-breast lump-nipple/central",0,0
"Breast lump",2,"26E3.","o/e-breast lump-upper in-quad",0,0
"Breast lump",2,"26E4.","o/e -breast lump-lower in-quad",0,0
"Breast lump",2,"26E5.","o/e-breast lump-upper out-quad",0,0
"Breast lump",2,"26E6.","o/e-breast lump-lower out-quad",0,0
"Breast lump",2,"26E7.","o/e-breast lump- axillary tail",0,0
"Breast lump",2,"26EZ.","o/e - breast lump palpated nos",0,0
"Breast lump",2,"26F..","o/e - breast lump size",0,0
"Breast lump",2,"26F1.","o/e - breast lump - pea size",0,0
"Breast lump",2,"26F2.","o/e - breast lump - plum size",0,0
"Breast lump",2,"26F3.","o/e-breast lump-tangerine size",0,0
"Breast lump",2,"26F4.","o/e - breast lump-orange size",0,0
"Breast lump",2,"26F5.","o/e-breast lump-grapefruit sze",0,1
"Breast lump",2,"26F6.","o/e - breast lump - melon size",0,1
"Breast lump",2,"26FZ.","o/e - breast lump size nos",0,0
"Breast lump",2,"26G..","o/e - breast lump consistency",0,0
"Breast lump",2,"26G1.","o/e - breast lump soft",0,0
"Breast lump",2,"26G2.","o/e - breast lump cystic",0,0
"Breast lump",2,"26G3.","o/e - breast lump hard",0,0
"Breast lump",2,"26GZ.","o/e - breast lump consist. nos",0,0
"Breast lump",2,"26H..","o/e - breast lump - outline",0,0
"Breast lump",2,"26H1.","o/e - breast lump smooth",0,0
"Breast lump",2,"26H2.","o/e - breast lump irregular",0,0
"Breast lump",2,"26HZ.","o/e-breast lump regularity nos",0,0
"Breast lump",2,"26I..","o/e - breast lump tethering",0,0
"Breast lump",2,"26I1.","o/e - breast lump not tethered",0,0
"Breast lump",2,"26I2.","o/e -breast lump fixed to skin",0,0
"Breast lump",2,"26I3.","o/e - breast lump fixed deep",0,0
"Breast lump",2,"26IZ.","o/e - breast lump tethered nos",0,0
"Breast lump",2,"K3171","breast mass",0,0
"Breast lump",3,".1A8.","Breast lump symptom",0,0
"Breast lump",3,".1A82","Breast lump present",0,0
"Breast lump",3,".1A83","Breast lump detected by clinician examination",0,0
"Breast lump",3,".1A84","Breast lump detected by mammogram",0,0
"Breast lump",3,".1A85","Breast lump detected by partner",0,0
"Breast lump",3,".1A86","Breast lump detected by self-examination",0,0
"Breast lump",3,".1A8Z","Breast lump symptom NOS",0,0
"Breast lump",3,".26E.","O/E - breast lump palpated",0,0
"Breast lump",3,".26E1","o/e - no breast lump palpable",0,1
"Breast lump",3,".26E2","O/E-breast lump-nipple/central",0,0
"Breast lump",3,".26E3","O/E-breast lump-upper in-quad",0,0
"Breast lump",3,".26E4","O/E -breast lump-lower in-quad",0,0
"Breast lump",3,".26E5","O/E-breast lump-upper out-quad",0,0
"Breast lump",3,".26E6","O/E-breast lump-lower out-quad",0,0
"Breast lump",3,".26E7","O/E-breast lump- axillary tail",0,0
"Breast lump",3,".26EZ","O/E - breast lump palpated NOS",0,0
"Breast lump",3,".26F.","O/E - breast lump size",0,0
"Breast lump",3,".26F1","O/E - breast lump - pea size",0,0
"Breast lump",3,".26F2","O/E - breast lump - plum size",0,0
"Breast lump",3,".26F3","O/E-breast lump-tangerine size",0,0
"Breast lump",3,".26F4","O/E - breast lump-orange size",0,0
"Breast lump",3,".26F5","o/e-breast lump-grapefruit sze",0,1
"Breast lump",3,".26F6","o/e - breast lump - melon size",0,1
"Breast lump",3,".26FZ","O/E - breast lump size NOS",0,0
"Breast lump",3,".26G.","O/E - breast lump consistency",0,0
"Breast lump",3,".26G1","O/E - breast lump soft",0,0
"Breast lump",3,".26G2","O/E - breast lump cystic",0,0
"Breast lump",3,".26G3","O/E - breast lump hard",0,0
"Breast lump",3,".26GZ","O/E - breast lump consist. NOS",0,0
"Breast lump",3,".26H.","O/E - breast lump regularity",0,0
"Breast lump",3,".26H1","O/E - breast lump smooth",0,0
"Breast lump",3,".26H2","O/E - breast lump irregular",0,0
"Breast lump",3,".26HZ","O/E-breast lump regularity NOS",0,0
"Breast lump",3,".26I.","O/E - breast lump tethering",0,0
"Breast lump",3,".26I1","O/E - breast lump not tethered",0,0
"Breast lump",3,".26I2","O/E -breast lump fixed to skin",0,0
"Breast lump",3,".26I3","O/E - breast lump fixed deep",0,0
