"version","read","term","desc","biomarker","source"
3,".42d4","","Plasma ferritin level","Ferritin","Cristina only"
3,"42R4.","","Serum ferritin","Ferritin","Cristina only"
3,"42R41","","Ferritin level low","Ferritin","Cristina only"
3,"42R42","","Serum ferritin normal","Ferritin","Cristina only"
3,"42R43","","Serum ferritin high","Ferritin","Cristina only"
3,"42d4.","","Plasma ferritin level","Ferritin","Cristina only"
3,"XE24r","","Serum ferritin level","Ferritin","Cristina only"
3,"XaIRQ","","Serum ferritin high","Ferritin","Cristina only"
3,"XaItW","","Plasma ferritin level","Ferritin","Cristina only"
2,"42B..","","Plasma viscosity","PV","Cristina only"
2,"42B1.","","Plasma viscosity normal","PV","Cristina only"
2,"42B2.","","Plasma visc. borderline raised","PV","Cristina only"
2,"42B3.","","Plasma viscosity raised","PV","Cristina only"
2,"42B4.","","Plasma viscosity low","PV","Cristina only"
2,"42B5.","","Plasma visc. borderline low","PV","Cristina only"
2,"42BZ.","","Plasma viscosity NOS","PV","Cristina only"
2,"5884.","","Blood/plasma viscosimetry","PV","Cristina only"
2,"R108.","","[D]Abnormal plasma viscosity","PV","Cristina only"
3,".42B.","","Plasma viscosity","PV","Cristina only"
3,".42B1","","Plasma viscosity normal","PV","Cristina only"
3,".42B2","","Plasma visc. borderline raised","PV","Cristina only"
3,".42B3","","Plasma viscosity raised","PV","Cristina only"
3,".42B4","","Plasma viscosity low","PV","Cristina only"
3,".42B5","","Plasma visc. borderline low","PV","Cristina only"
3,".42BZ","","Plasma viscosity NOS","PV","Cristina only"
3,".5884","","Blood/plasma viscosimetry","PV","Cristina only"
3,"42B..","","Plasma viscosity","PV","Cristina only"
3,"42B1.","","Plasma viscosity normal","PV","Cristina only"
3,"42B2.","","Plasma visc. borderline raised","PV","Cristina only"
3,"42B3.","","Plasma viscosity raised","PV","Cristina only"
3,"42B4.","","Plasma viscosity low","PV","Cristina only"
3,"42B5.","","Plasma visc. borderline low","PV","Cristina only"
3,"42BZ.","","Plasma viscosity NOS","PV","Cristina only"
3,"5884.","","Blood/plasma viscosimetry","PV","Cristina only"
3,"R108.","","[D]Abnormal plasma viscosity","PV","Cristina only"
3,"XE2pd","","Plasma viscosity","PV","Cristina only"
3,".42P.","","Platelet count","Platelets","Cristina only"
3,".42P1","","Platelet count normal","Platelets","Cristina only"
3,".42P2","","Thrombocytopenia","Platelets","Cristina only"
3,".42P3","","Thrombocythaemia","Platelets","Cristina only"
3,".42P4","","Platelet count abnormal","Platelets","Cristina only"
3,".42PZ","","Platelet count NOS","Platelets","Cristina only"
3,"42P2.","","Thrombocytopenia","Platelets","Cristina only"
